file_id,organism,locus_tag,ess,conf,conf_bert,conf_mean
C039,Pseudomonas aeruginosa MPAO1,PA0149,0,0.0246035642921924,0.0977516248822212,0.0611775945872068
C039,Pseudomonas aeruginosa MPAO1,PA0150,0,0.0836820676922798,0.1399795711040496,0.1118308193981647
C039,Pseudomonas aeruginosa MPAO1,PA0151,0,0.0289511103183031,0.0733550786972045,0.05115309450775381
C039,Pseudomonas aeruginosa MPAO1,PA0152,0,0.0680856704711914,0.0541813783347606,0.06113352440297601
C039,Pseudomonas aeruginosa MPAO1,PA0153,0,0.6382968425750732,0.0815193280577659,0.3599080853164196
C039,Pseudomonas aeruginosa MPAO1,PA0154,0,0.0330960154533386,0.1592480242252349,0.09617201983928675
C039,Pseudomonas aeruginosa MPAO1,PA0155,0,0.117625743150711,0.0782435759902,0.0979346595704555
C039,Pseudomonas aeruginosa MPAO1,PA0156,0,0.0281646586954593,0.1326798498630523,0.08042225427925581
C039,Pseudomonas aeruginosa MPAO1,PA0157,0,0.0294516179710626,0.1721455454826355,0.10079858172684905
C039,Pseudomonas aeruginosa MPAO1,PA0158,0,0.4081586599349975,0.2284703850746154,0.31831452250480646
C039,Pseudomonas aeruginosa MPAO1,PA0159,0,0.0351570062339305,0.0622216984629631,0.0486893523484468
C039,Pseudomonas aeruginosa MPAO1,PA0160,0,0.0657163485884666,0.3283138871192932,0.1970151178538799
C039,Pseudomonas aeruginosa MPAO1,PA0161,0,0.0361977331340312,0.4746334552764892,0.2554155942052602
C039,Pseudomonas aeruginosa MPAO1,PA0162,0,0.0275061782449483,0.060994204133749,0.04425019118934865
C039,Pseudomonas aeruginosa MPAO1,PA0163,0,0.0281793102622032,0.047913871705532,0.0380465909838676
C039,Pseudomonas aeruginosa MPAO1,PA0164,0,0.0277720652520656,0.095110185444355,0.0614411253482103
C039,Pseudomonas aeruginosa MPAO1,PA0165,0,0.0293157193809747,0.0502245537936687,0.0397701365873217
C039,Pseudomonas aeruginosa MPAO1,PA0166,0,0.0289449095726013,0.0523714832961559,0.0406581964343786
C039,Pseudomonas aeruginosa MPAO1,PA0167,0,0.0274274237453937,0.0665872618556022,0.047007342800497946
C039,Pseudomonas aeruginosa MPAO1,PA0168,0,0.0320679135620594,0.1412336677312851,0.08665079064667225
C039,Pseudomonas aeruginosa MPAO1,PA0169,0,0.0294345151633024,0.121456503868103,0.0754455095157027
C039,Pseudomonas aeruginosa MPAO1,PA0170,0,0.0387866869568824,0.0701147690415382,0.0544507279992103
C039,Pseudomonas aeruginosa MPAO1,PA0171,0,0.0566040873527526,0.1541429460048675,0.10537351667881005
C039,Pseudomonas aeruginosa MPAO1,PA0172,0,0.0307215321809053,0.107163019478321,0.06894227582961315
C039,Pseudomonas aeruginosa MPAO1,PA0173,0,0.0309371873736381,0.5262690186500549,0.27860310301184654
C039,Pseudomonas aeruginosa MPAO1,PA0174,0,0.0309092160314321,0.1271600127220153,0.0790346143767237
C039,Pseudomonas aeruginosa MPAO1,PA0175,0,0.0315545685589313,0.3034289479255676,0.16749175824224946
C039,Pseudomonas aeruginosa MPAO1,PA0176,0,0.037684042006731,0.1419782638549804,0.08983115293085571
C039,Pseudomonas aeruginosa MPAO1,PA0177,0,0.1363568902015686,0.4565958380699157,0.2964763641357422
C039,Pseudomonas aeruginosa MPAO1,PA0178,0,0.038407064974308,0.4998154044151306,0.2691112346947193
C039,Pseudomonas aeruginosa MPAO1,PA0179,0,0.0348827876150608,0.0443126000463962,0.0395976938307285
C039,Pseudomonas aeruginosa MPAO1,PA0180,0,0.0276730600744485,0.1287044882774353,0.0781887741759419
C039,Pseudomonas aeruginosa MPAO1,PA0181,0,0.0281492955982685,0.0418285652995109,0.0349889304488897
C039,Pseudomonas aeruginosa MPAO1,PA0182,0,0.0527728050947189,0.0545738078653812,0.053673306480050045
C039,Pseudomonas aeruginosa MPAO1,PA0183,0,0.0296539422124624,0.0534305982291698,0.0415422702208161
C039,Pseudomonas aeruginosa MPAO1,PA0184,0,0.0540601462125778,0.1633249372243881,0.10869254171848294
C039,Pseudomonas aeruginosa MPAO1,PA0185,0,0.0273217428475618,0.0718794763088226,0.049600609578192206
C039,Pseudomonas aeruginosa MPAO1,PA0186,0,0.0864243581891059,0.3009616136550903,0.1936929859220981
C039,Pseudomonas aeruginosa MPAO1,PA0187,0,0.0287887603044509,0.1488860547542572,0.08883740752935405
