file_id,organism,locus_tag,ess,conf,conf_esm2,conf_bert,conf_t5,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.0571242272853851,0.0939581021666526,0.1549560129642486,0.1210091263055801,0.1067618671804666
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0560982786118984,0.1204352527856826,0.1156663298606872,0.072991594672203,0.0912978639826178
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0516092181205749,0.0082487231120467,0.2463235259056091,0.0041632815264165,0.0775861871661618
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0535134263336658,0.0255886726081371,0.0538704209029674,0.092756874859333,0.056432348676025826
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.2910712659358978,0.8710940480232239,0.886547863483429,0.7800223231315613,0.707183875143528
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.0617234632372856,0.3066972494125366,0.5087080597877502,0.4124155342578888,0.3223860766738653
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9032105803489684,0.953093647956848,0.8360057473182678,0.9568207263946532,0.9122826755046844
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.8144609928131104,0.9544666409492492,0.9496040940284728,0.977057695388794,0.9238973557949066
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9102087616920472,0.9436086416244508,0.9232540726661682,0.8722516298294067,0.9123307764530182
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.0595139190554618,0.6254222989082336,0.2461219578981399,0.5185484290122986,0.36240165121853346
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.7450486421585083,0.9412527084350586,0.92527836561203,0.7903988361358643,0.8504946380853653
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0570129863917827,0.6264033317565918,0.4178037941455841,0.0245518777519464,0.2814429975114763
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8681749105453491,0.9180493354797364,0.8979614973068237,0.8559694886207581,0.8850388079881668
